Plnt;Plant Name;PN;Old material no.;Material Description;SLoc;Description;Total stck; ValStockValue; usd ;curr;idr
2001;CP Balikpapan Branch;226-10.00-20 GT;226-10.00-20 GT;10.00 - 20 GT MILLER;109;CP TRD BPN;;;;;3157872,778
2001;CP Balikpapan Branch;209-1100R20ETFN;209-1100R20ETFN;11.00 R 20 ETFN;;CP TRD BPN;;;;;4164312,273
2001;CP Balikpapan Branch;209-1100R20ETOT18;209-1100R20ETOT18;11.00 R 20 ETOT;;CP TRD BPN;;;;;5847093,333
2001;CP Balikpapan Branch;226-1100-20 GT-SG;226-1100-20 GT-SG;11.00-20 18PR SUPER GRIP;;CP TRD BPN;;;;;4360948,182
2001;CP Balikpapan Branch;226-1100-20 GT 88N;226-1100-20 GT 88N;11.00-20 GT MILLER 88N 16PR;;CP TRD BPN;;;;;3948760
2001;CP Balikpapan Branch;209-1200R24ETOT20;209-1200R24ETOT20;12.00 R 24 ETOT;;CP TRD BPN;;;;;6487285
2001;CP Balikpapan Branch;209-1200R24 24PR;209-1200R24 24PR;12.00 R 24 ETOT 24PR TT;;CP TRD BPN;;;;;6214580
2001;CP Balikpapan Branch;208-3420000886;208-3420000886;12.00 R 24 MAXAM MS401**TL;;CP TRD BPN;;;;;4487112,105
2001;CP Balikpapan Branch;226-GT-12.00-24;226-GT-12.00-24;12.00-24 GT SUPER GRIP;;CP TRD BPN;;;;;5565228,182
2001;CP Balikpapan Branch;200-573252;200-573252;14.00 R 20 XZL+TL 164/161J MI;;CP TRD BPN;;;;;12119810
2001;CP Balikpapan Branch;208-3420001138;208-3420001138;14.00R25 MS419 MAXAM;;CP TRD BPN;;;;;14119281,08
2001;CP Balikpapan Branch;226-40118040;226-40118040;16.00 R 25 DM668+ TL LL E-4 S1;;CP TRD BPN;;;;;16143310,5
2001;CP Balikpapan Branch;208-3420001423;208-3420001423;16.00R25 MS419 MAXAM;;CP TRD BPN;;;;;18020228,85
2001;CP Balikpapan Branch;200-123317;200-123317;17.5 R 25 XLD D2 A TL *;;CP TRD BPN;;;;;45477210
2001;CP Balikpapan Branch;226-18.00-22.5;226-18.00-22.5;18.00-22.5 TYRE;;CP TRD BPN;;;;;15619713,33
2001;CP Balikpapan Branch;200-899613;200-899613;20.5 R 25 XHA2 TL;;CP TRD BPN;;;;;48376675,91
2001;CP Balikpapan Branch;200-123054;200-123054;23.5 R 25 XH A TL *;;CP TRD BPN;;;;;64528626,34
2001;CP Balikpapan Branch;200-139147;200-139147;23.5 R 25 XHA2 TL;;CP TRD BPN;;;;;64193854,55
2001;CP Balikpapan Branch;200-123326;200-123326;23.5 R 25 XLD D2 A TL *;;CP TRD BPN;;;;;101414994,6
2001;CP Balikpapan Branch;266-4007112190000;266-4007112190000;23.5R25 201A2 EMR 1051 TL;;CP TRD BPN;;;;;38679250
2001;CP Balikpapan Branch;200-302244;200-302244;24.00 R 35 XTRA LOAD GRIP B E4;;CP TRD BPN;;;;;134012793,5
2001;CP Balikpapan Branch;200-388190;200-388190;24.00 R 35 XTRA LOAD PROTECT A4;;CP TRD BPN;;;;;138143348,9
2001;CP Balikpapan Branch;200-123094;200-123094;26.5 R 25 XLD D2 A TL *;;CP TRD BPN;;;;;126668785
2001;CP Balikpapan Branch;226-40118040;226-40118040;27.00 R 49 MIX TRAXTION;;CP TRD BPN;;;;;110341152
2001;CP Balikpapan Branch;260-2700R49-RT4A;260-2700R49-RT4A;27.00 R 49 RT-4A+**4HL E4 RL TL;;CP TRD BPN;;;;;190619725
2001;CP Balikpapan Branch;200-047262;200-047262;27.00 R 49 XD GRIP B E4T TL **;;CP TRD BPN;;;;;212876943,5
2001;CP Balikpapan Branch;200-764857;200-764857;27.00 R 49 XDR3 B E4R TL ***;;CP TRD BPN;;;;;218531725,7
2001;CP Balikpapan Branch;200-940473;200-940473;29.5 R 25 XTRA DEFEND E4 TL 200B;;CP TRD BPN;;;;;99971772,5
2001;CP Balikpapan Branch;200-708648;200-708648;29.5 R 29 XTS TL **;;CP TRD BPN;;;;;122126621,1
2001;CP Balikpapan Branch;266-2000044440101;266-2000044440101;29.5R25 200B/216A2 EMR 1042 TL;;CP TRD BPN;;;;;54192486,67
2001;CP Balikpapan Branch;226-1200R24 GAO;226-1200R24 GAO;325/95 R 24 22PR GAO822;;CP TRD BPN;;;;;6462544,333
2001;CP Balikpapan Branch;200-674334;200-674334;325/95R24 X WORKS Z2 162/160K VG MI;;CP TRD BPN;;;;;7121980
2001;CP Balikpapan Branch;200-884959;200-884959;33.00 R 51 XDR3 B E4R TL **;;CP TRD BPN;;;;;452858322,6
2001;CP Balikpapan Branch;200-123961;200-123961;33.00 R 51 XDT B E4T TL **;;CP TRD BPN;;;;;350434242,3
2001;CP Balikpapan Branch;200-169990;200-169990;35/65 R 33 XTRA POWER L5;;CP TRD BPN;;;;;234117277,3
2001;CP Balikpapan Branch;200-651752;200-651752;37.00 R 57 XDR3 B E4R TL**;;CP TRD BPN;;;;;502969261,4
2001;CP Balikpapan Branch;200-733149;200-733149;45/65 R 45 XLD D1A L4 TL ** 244A2;;CP TRD BPN;;;;;497662080
2001;CP Balikpapan Branch;240-BB054913;240-BB054913;49 BEADSEAT BAND WITH SURE LOCK;;CP TRD BPN;;;;;7137500
2001;CP Balikpapan Branch;240-SR505102;240-SR505102;"51"" - 5.0"" SIDE RING  - 131MM";;CP TRD BPN;;;;;7168857,5
2001;CP Balikpapan Branch;240-BB055102;240-BB055102;"51"" - 7.5"" STD BEAD SEAT BAND EU";;CP TRD BPN;;;;;11508910,53
2001;CP Balikpapan Branch;240-LR055113;240-LR055113;"51"" 1 PIECE STD LOCK RING EU PROFILE";;CP TRD BPN;;;;;3177744,615
2001;CP Balikpapan Branch;240-WB5124510;240-WB5124510;"51"" x 24"" CAT 785 WHEEL BASE";;CP TRD BPN;;;;;31247955
2001;CP Balikpapan Branch;240-SR6057AS;240-SR6057AS;"57"" - 6.0"" SIDE RING";;CP TRD BPN;;;;;8883076,111
2001;CP Balikpapan Branch;240-LR055727;240-LR055727;"57"" LOCK RING";;CP TRD BPN;;;;;4032230
2001;CP Balikpapan Branch;200-110204;200-110204;6.00 R 9 XZM TL;;CP TRD BPN;;;;;4045915
2001;CP Balikpapan Branch;200-118804;200-118804;7.50 R 16 121L AGILIS HD;;CP TRD BPN;;;;;2313870
2001;CP Balikpapan Branch;226-7.50-16GT S88N;226-7.50-16GT S88N;7.50-16 /14 S88N HD;;CP TRD BPN;;;;;1542217,027
2001;CP Balikpapan Branch;253-AHP-20H;253-AHP-20H;8 FOOT HOSE WITH COUPLER FOR HYD. PUMP;;CP TRD BPN;;;;;1376915
2001;CP Balikpapan Branch;200-110218;200-110218;8.25 R 15 XZM TL 153 A5;;CP TRD BPN;;;;;10739835
2001;CP Balikpapan Branch;253-H-4660A;253-H-4660A;AIR CHUCK - LARGE BORE;;CP TRD BPN;;;;;318055,8333
2001;CP Balikpapan Branch;253-HE-343;253-HE-343;AIRFLEX VALVE EXTENSION;;CP TRD BPN;;;;;207888,3636
2001;CP Balikpapan Branch;253-OTR-1825;253-OTR-1825;BEAD BREAKER;;CP TRD BPN;;;;;14457820
2001;CP Balikpapan Branch;240-BB053501;240-BB053501;BEAD SEAT BAND 35 WITH SURE LOCK;;CP TRD BPN;;;;;5406667,857
2001;CP Balikpapan Branch;240-800-990-042;240-800-990-042;BEAD SEAT BAND 57 SURELOCK;;CP TRD BPN;;;;;12845464,44
2001;CP Balikpapan Branch;270-60020121;270-60020121;BUSHING-BTM DRIVE GEAR;;CP TRD BPN;;;;;1571820
2001;CP Balikpapan Branch;270-60020122;270-60020122;BUSHING-BTM PINION GEAR;;CP TRD BPN;;;;;3022770
2001;CP Balikpapan Branch;270-60020120;270-60020120;BUSHING-TOP DRIVE GEAR;;CP TRD BPN;;;;;3345090
2001;CP Balikpapan Branch;270-60020124;270-60020124;BUSHING-TOP INTMD GEAR;;CP TRD BPN;;;;;5833720
2001;CP Balikpapan Branch;253-T-81;253-T-81;CLAMP-IN SPUD;;CP TRD BPN;;;;;91009,5
2001;CP Balikpapan Branch;253-BBH-10;253-BBH-10;COMBI BEAD BREAKER;;CP TRD BPN;;;;;15226220
2001;CP Balikpapan Branch;253-Z-10;253-Z-10;CORE HOUSING COMPLETE WITH CORE & CAP;;CP TRD BPN;;;;;244064,75
2001;CP Balikpapan Branch;255-CRP45;255-CRP45;CRP-45;;CP TRD BPN;;;;;122015,4483
2001;CP Balikpapan Branch;253-WHG-8018VC;253-WHG-8018VC;CUSTOM BENT SWIVEL VALVES & EXTENSION;;CP TRD BPN;;;;;573822,1212
2001;CP Balikpapan Branch;253-WHG-8019VC;253-WHG-8019VC;CUSTOM BENT SWIVEL VALVES & EXTENSION;;CP TRD BPN;;;;;392330,4348
